time,pres,qc_pres,tdry,qc_tdry,dp,qc_dp,wspd,qc_wspd,deg,qc_deg,rh,qc_rh,u_wind,qc_u_wind,v_wind,qc_v_wind,wstat,asc,qc_asc,lat,lon,alt,potential_T
2022-01-10 11:55:00,377.01816,0.0,-32.716335,0.0,-52.1615,0.0,5.4299994,0.0,328.21667,0.0,12.883499,0.0,2.8437629,0.0,-4.6213346,0.0,,3.7183335,0.0,38.916676,-106.97299,7858.1772,44.654587
2022-01-10 11:56:00,365.04285,0.0,-34.638836,0.0,-51.31517,0.0,6.973333,0.0,338.61667,0.0,17.183332,0.0,2.529692,0.0,-6.4931993,0.0,,3.8199995,0.0,38.913647,-106.971054,8084.51,45.037117
2022-01-10 11:57:00,353.15753,0.0,-36.766666,0.0,-51.412666,0.0,7.6016674,0.0,342.9,0.0,20.829,0.0,2.2338943,0.0,-7.2646713,0.0,,3.8499997,0.0,38.909878,-106.96932,8314.6,45.198032
2022-01-10 11:58:00,341.4405,0.0,-38.959167,0.0,-51.952503,0.0,7.716666,0.0,341.71667,0.0,24.469831,0.0,2.4216125,0.0,-7.325782,0.0,,3.8916664,0.0,38.90599,-106.96776,8546.997,45.303562
2022-01-10 11:59:00,329.90866,0.0,-41.0945,0.0,-52.594166,0.0,8.344999,0.0,343.53333,0.0,28.292835,0.0,2.3496552,0.0,-7.9912333,0.0,,3.9633334,0.0,38.901897,-106.965965,8781.483,45.51626
2022-01-10 12:00:00,318.50113,0.0,-42.980995,0.0,-53.704666,0.0,8.930001,0.0,99.083336,0.0,30.323498,0.0,-0.47290775,0.0,-8.892401,0.0,,3.9316666,0.0,38.897285,-106.96523,9019.542,46.12296
2022-01-10 12:01:00,307.5882,0.0,-44.679672,0.0,-58.503666,0.0,8.408334,0.0,16.116667,0.0,20.756664,0.0,-2.3181312,0.0,-8.059307,0.0,,3.9033332,0.0,38.892673,-106.96624,9253.545,46.94308
2022-01-10 12:02:00,296.93527,0.0,-46.59034,0.0,-59.433167,0.0,9.408335,0.0,18.15,0.0,22.51367,0.0,-2.9272847,0.0,-8.940356,0.0,,3.9066668,0.0,38.888172,-106.96812,9488.3545,47.481644
2022-01-10 12:03:00,286.70465,0.0,-48.446007,0.0,-62.644505,0.0,10.268334,0.0,19.05,0.0,18.327831,0.0,-3.3608885,0.0,-9.698053,0.0,,3.8283336,0.0,38.883118,-106.97013,9719.877,48.060795
2022-01-10 12:04:00,276.71732,0.0,-49.995007,0.0,-63.77233,0.0,9.593333,0.0,27.9,0.0,18.828333,0.0,-4.4576983,0.0,-8.483444,0.0,,3.8833334,0.0,38.87804,-106.97294,9952.319,49.09773
2022-01-10 12:05:00,266.94815,0.0,-51.894505,0.0,-63.53217,0.0,7.805,0.0,29.0,0.0,24.176666,0.0,-3.7859676,0.0,-6.8247266,0.0,,3.9416666,0.0,38.873985,-106.9759,10186.136,49.6558
